Environment,Partial Obs,Num Envs,Num Steps,FPS,Seed
NoisyCartPoleEasy,False,2,32,97542,2
NoisyCartPoleEasy,False,4,32,437904,2
NoisyCartPoleEasy,False,8,32,801898,2
NoisyCartPoleEasy,False,16,32,925241,2
NoisyCartPoleEasy,False,32,32,1442717,2
NoisyCartPoleEasy,False,64,32,1993950,2
NoisyCartPoleEasy,False,128,32,1749478,2
NoisyCartPoleEasy,False,256,32,2194669,2
NoisyCartPoleEasy,False,512,32,2326792,2
NoisyCartPoleEasy,False,2,32,136054,3
NoisyCartPoleEasy,False,4,32,407338,3
NoisyCartPoleEasy,False,8,32,680445,3
NoisyCartPoleEasy,False,16,32,809150,3
NoisyCartPoleEasy,False,32,32,1507535,3
NoisyCartPoleEasy,False,64,32,1666007,3
NoisyCartPoleEasy,False,128,32,1954257,3
NoisyCartPoleEasy,False,256,32,2199023,3
NoisyCartPoleEasy,False,512,32,2361169,3
NoisyCartPoleEasy,False,2,32,280204,4
NoisyCartPoleEasy,False,4,32,433660,4
NoisyCartPoleEasy,False,8,32,750868,4
NoisyCartPoleEasy,False,16,32,1184492,4
NoisyCartPoleEasy,False,32,32,1509124,4
NoisyCartPoleEasy,False,64,32,1770026,4
NoisyCartPoleEasy,False,128,32,1882519,4
NoisyCartPoleEasy,False,256,32,2141594,4
NoisyCartPoleEasy,False,512,32,2339785,4
NoisyCartPoleEasy,False,2,32,274755,5
NoisyCartPoleEasy,False,4,32,343268,5
NoisyCartPoleEasy,False,8,32,495040,5
NoisyCartPoleEasy,False,16,32,1200382,5
NoisyCartPoleEasy,False,32,32,1357449,5
NoisyCartPoleEasy,False,64,32,1847695,5
NoisyCartPoleEasy,False,128,32,1712507,5
NoisyCartPoleEasy,False,256,32,2143866,5
NoisyCartPoleEasy,False,512,32,2306719,5
NoisyCartPoleEasy,False,2,32,166627,6
NoisyCartPoleEasy,False,4,32,438620,6
NoisyCartPoleEasy,False,8,32,696782,6
NoisyCartPoleEasy,False,16,32,998830,6
NoisyCartPoleEasy,False,32,32,1365649,6
NoisyCartPoleEasy,False,64,32,2022113,6
NoisyCartPoleEasy,False,128,32,1689602,6
NoisyCartPoleEasy,False,256,32,2143197,6
NoisyCartPoleEasy,False,512,32,2374960,6
NoisyCartPoleEasy,False,2,32,222215,7
NoisyCartPoleEasy,False,4,32,296450,7
NoisyCartPoleEasy,False,8,32,614269,7
NoisyCartPoleEasy,False,16,32,965161,7
NoisyCartPoleEasy,False,32,32,1341758,7
NoisyCartPoleEasy,False,64,32,2185178,7
NoisyCartPoleEasy,False,128,32,1983361,7
NoisyCartPoleEasy,False,256,32,2165348,7
NoisyCartPoleEasy,False,512,32,2323488,7
NoisyCartPoleEasy,False,2,32,220390,8
NoisyCartPoleEasy,False,4,32,372568,8
NoisyCartPoleEasy,False,8,32,800106,8
NoisyCartPoleEasy,False,16,32,851838,8
NoisyCartPoleEasy,False,32,32,1427374,8
NoisyCartPoleEasy,False,64,32,1689934,8
NoisyCartPoleEasy,False,128,32,1816246,8
NoisyCartPoleEasy,False,256,32,2148961,8
NoisyCartPoleEasy,False,512,32,2316517,8
NoisyCartPoleEasy,False,2,32,194096,9
NoisyCartPoleEasy,False,4,32,566320,9
NoisyCartPoleEasy,False,8,32,888124,9
NoisyCartPoleEasy,False,16,32,881923,9
